filename,result,runtime
aim-100-1_6-no-1.cnf,TIMEOUT,10.0
aim-100-1_6-no-2.cnf,TIMEOUT,10.0
aim-100-1_6-no-3.cnf,TIMEOUT,10.0
aim-100-1_6-no-4.cnf,TIMEOUT,10.0
aim-100-1_6-yes1-1.cnf,TIMEOUT,10.0
aim-100-1_6-yes1-2.cnf,TIMEOUT,10.0
aim-100-1_6-yes1-3.cnf,TIMEOUT,10.0
aim-100-1_6-yes1-4.cnf,TIMEOUT,10.0
aim-100-2_0-no-1.cnf,TIMEOUT,10.0
aim-100-2_0-no-2.cnf,TIMEOUT,10.0
aim-100-2_0-no-3.cnf,TIMEOUT,10.0
aim-100-2_0-no-4.cnf,TIMEOUT,10.0
aim-100-2_0-yes1-1.cnf,TIMEOUT,10.0
aim-100-2_0-yes1-2.cnf,TIMEOUT,10.0
aim-100-2_0-yes1-3.cnf,TIMEOUT,10.0
aim-100-2_0-yes1-4.cnf,TIMEOUT,10.0
aim-100-3_4-yes1-1.cnf,TIMEOUT,10.0
aim-100-3_4-yes1-2.cnf,TIMEOUT,10.0
aim-100-3_4-yes1-3.cnf,TIMEOUT,10.0
aim-100-3_4-yes1-4.cnf,TIMEOUT,10.0
aim-100-6_0-yes1-1.cnf,SAT,6.238105535507202
aim-100-6_0-yes1-2.cnf,TIMEOUT,10.0
aim-100-6_0-yes1-3.cnf,SAT,3.5908114910125732
aim-100-6_0-yes1-4.cnf,SAT,7.465821743011475
aim-200-1_6-no-1.cnf,TIMEOUT,10.0
aim-200-1_6-no-2.cnf,TIMEOUT,10.0
aim-200-1_6-no-3.cnf,TIMEOUT,10.0
aim-200-1_6-no-4.cnf,TIMEOUT,10.0
aim-200-1_6-yes1-1.cnf,TIMEOUT,10.0
aim-200-1_6-yes1-2.cnf,TIMEOUT,10.0
aim-200-1_6-yes1-3.cnf,TIMEOUT,10.0
aim-200-1_6-yes1-4.cnf,TIMEOUT,10.0
aim-200-2_0-no-1.cnf,TIMEOUT,10.0
aim-200-2_0-no-2.cnf,TIMEOUT,10.0
aim-200-2_0-no-3.cnf,TIMEOUT,10.0
aim-200-2_0-no-4.cnf,TIMEOUT,10.0
aim-200-2_0-yes1-1.cnf,TIMEOUT,10.0
aim-200-2_0-yes1-2.cnf,TIMEOUT,10.0
aim-200-2_0-yes1-3.cnf,TIMEOUT,10.0
aim-200-2_0-yes1-4.cnf,TIMEOUT,10.0
aim-200-3_4-yes1-1.cnf,TIMEOUT,10.0
aim-200-3_4-yes1-2.cnf,TIMEOUT,10.0
aim-200-3_4-yes1-3.cnf,TIMEOUT,10.0
aim-200-3_4-yes1-4.cnf,TIMEOUT,10.0
aim-200-6_0-yes1-1.cnf,TIMEOUT,10.0
aim-200-6_0-yes1-2.cnf,TIMEOUT,10.0
aim-200-6_0-yes1-3.cnf,TIMEOUT,10.0
aim-200-6_0-yes1-4.cnf,TIMEOUT,10.0
aim-50-1_6-no-1.cnf,UNSAT,8.53322434425354
aim-50-1_6-no-2.cnf,UNSAT,6.690144062042236
aim-50-1_6-no-3.cnf,UNSAT,7.070589542388916
aim-50-1_6-no-4.cnf,UNSAT,7.300836801528931
aim-50-1_6-yes1-1.cnf,SAT,0.7114191055297852
aim-50-1_6-yes1-2.cnf,SAT,1.520644187927246
aim-50-1_6-yes1-3.cnf,SAT,2.246968984603882
aim-50-1_6-yes1-4.cnf,SAT,1.4425549507141113
aim-50-2_0-no-1.cnf,TIMEOUT,10.0
aim-50-2_0-no-2.cnf,UNSAT,7.043787002563477
aim-50-2_0-no-3.cnf,UNSAT,6.610318183898926
aim-50-2_0-no-4.cnf,UNSAT,9.584856033325195
aim-50-2_0-yes1-1.cnf,SAT,3.3973255157470703
aim-50-2_0-yes1-2.cnf,SAT,1.809105634689331
aim-50-2_0-yes1-3.cnf,SAT,4.115058422088623
aim-50-2_0-yes1-4.cnf,SAT,1.5578620433807373
aim-50-3_4-yes1-1.cnf,SAT,1.067781686782837
aim-50-3_4-yes1-2.cnf,SAT,1.0229296684265137
aim-50-3_4-yes1-3.cnf,SAT,0.5388681888580322
aim-50-3_4-yes1-4.cnf,SAT,0.7997488975524902
aim-50-6_0-yes1-1.cnf,SAT,0.6177623271942139
aim-50-6_0-yes1-2.cnf,SAT,0.5686743259429932
aim-50-6_0-yes1-3.cnf,SAT,0.6814446449279785
aim-50-6_0-yes1-4.cnf,SAT,0.5614662170410156
